,Öğrenci_Bilgisi,Not_Bilgisi
136,"Mitchell, Daryl",57.0
137,"Sullivan, Lucia",75.0
138,"Alexander, Antony",86.0
139,"Turner, David",82.0
140,"Barrett, James",99.0
141,"Ferguson, Chloe",52.0
142,"Barnes, Penelope",87.0
143,"Campbell, Alan",79.0
144,"Sullivan, Amber",76.0
145,"Harper, Myra",91.0
146,"Roberts, Paige",54.0
147,"Cole, Sarah",61.0
148,"Perkins, Justin",74.0
149,"Thompson, Vanessa",85.0
150,"Sullivan, Owen",70.0
151,"Williams, Anna",97.0
152,"Kelley, Richard",71.0
153,"Allen, Fenton",87.0
154,"Cole, Charlotte",68.0
155,"Bennett, Eleanor",70.0
156,"Warren, Valeria",74.0
157,"Stevens, Belinda",78.0
158,"Harrison, Adrianna",69.0
159,"Baker, Elise",72.0
160,"Myers, Michael",81.0
161,"Hall, Martin",64.0
162,"Wells, Martin",73.0
163,"Reed, Roland",68.0
164,"Turner, Carlos",62.0
165,"Perkins, Jack",78.0
166,"Kelley, Owen",69.0
167,"West, Stuart",74.0
168,"Barrett, Maria",58.0
169,"Johnson, Tara",100.0
170,"Ross, Chloe",84.0
171,"Cole, Ted",67.0
172,"Farrell, Abigail",68.0
173,"Roberts, Alford",50.0
174,"Gibson, Emma",86.0
175,"Howard, Marcus",67.0
176,"Murray, Alford",85.0
177,"Evans, Cadie",69.0
178,"Johnston, Catherine",81.0
179,"Allen, Naomi",63.0
180,"Crawford, George",41.0
181,"Harrison, Ryan",68.0
182,"Payne, Sabrina",100.0
183,"Murray, Byron",73.0
184,"Johnson, Richard",86.0
185,"Evans, Tess",71.0
186,"Bennett, Maddie",65.0
187,"Perry, Ashton",88.0
188,"Bailey, Naomi",64.0
189,"Wright, Spike",77.0
190,"Moore, Derek",88.0
191,"Russell, Thomas",58.0
192,"Allen, Stuart",71.0
193,"Johnson, Miley",82.0
194,"Perry, Clark",93.0
195,"Farrell, Victoria",53.0
196,"Taylor, Elian",79.0
197,"Farrell, Adrian",70.0
198,"Ross, Reid",64.0
199,"Bennett, Bruce",55.0
200,"Warren, Catherine",49.0
201,"Holmes, Julia",64.0
202,"Kelly, Freddie",77.0
203,"Crawford, Lilianna",87.0
204,"Hill, Julia",69.0
205,"Howard, Anna",77.0
206,"Turner, Daisy",55.0
207,"Harris, Daniel",95.0
208,"Holmes, Tyler",87.0
209,"Miller, Sawyer",69.0
210,"Davis, Maria",63.0
211,"Cole, Sawyer",60.0
212,"Cameron, Gianna",54.0
213,"Fowler, Jared",90.0
214,"West, Julia",60.0
215,"Mitchell, Samantha",68.0
216,"Cunningham, Maria",36.0
217,"Kelly, Preston",52.0
218,"Wells, Owen",72.0
219,"Harris, Amber",70.0
220,"Morrison, Valeria",48.0
221,"Brown, Tiana",91.0
222,"Roberts, Dominik",62.0
223,"Dixon, Preston",58.0
224,"Jones, Sarah",90.0
225,"Dixon, Aldus",81.0
226,"Alexander, David",67.0
227,"Holmes, Vivian",51.0
228,"Allen, Spike",36.0
229,"Payne, Patrick",89.0
230,"Barrett, Olivia",59.0
231,"Cole, William",83.0
232,"Stewart, Freddie",57.0
233,"Crawford, Elian",65.0
234,"Watson, Ellia",56.0
235,"Ferguson, Freddie",76.0
236,"Perkins, Chloe",51.0
237,"Brown, Frederick",58.0
238,"Allen, Edgar",89.0
239,"Tucker, Victoria",85.0
240,"Richardson, Anna",59.0
241,"Cunningham, Maddie",56.0
242,"Murphy, Agata",58.0
243,"Dixon, James",58.0
244,"Russell, Gianna",79.0
245,"Wells, Clark",46.0
246,"Wells, Daryl",56.0
247,"Perkins, Belinda",64.0
248,"Howard, Thomas",92.0
249,"Johnston, April",59.0
250,"Armstrong, Jessica",77.0
251,"Brown, Elian",62.0
252,"Murray, Kirsten",94.0
253,"Adams, Antony",51.0
254,"Carroll, Vivian",92.0
255,"Elliott, Daisy",64.0
256,"Cunningham, Vanessa",100.0
257,"Fowler, Miley",64.0
258,"Chapman, Tony",73.0
259,"Hunt, George",42.0
260,"Dixon, Belinda",52.0
261,"Ellis, Maddie",96.0
262,"Barrett, Brooke",60.0
263,"Brooks, April",59.0
264,"Wilson, Cadie",58.0
265,"Elliott, Patrick",63.0
266,"Harper, Freddie",100.0
267,"Smith, Maria",83.0
268,"Evans, Briony",74.0
269,"Scott, Eddy",85.0
270,"Howard, Jasmine",43.0
271,"Roberts, Garry",83.0
272,"Ross, Kellan",97.0
273,"Wells, Chloe",61.0
274,"Richardson, Roland",71.0
275,"Evans, Sarah",100.0
276,"Cole, Natalie",78.0
277,"Martin, Arthur",59.0
278,"Moore, Vanessa",64.0
279,"Anderson, Rubie",66.0
280,"Clark, Adrianna",81.0
281,"Hawkins, Vivian",74.0
282,"West, Stella",100.0
283,"Hall, Albert",52.0
284,"Ferguson, Vanessa",75.0
285,"Smith, Roland",78.0
286,"Murray, Elise",58.0
287,"Smith, Dominik",61.0
288,"Campbell, Tess",67.0
289,"Warren, Olivia",28.0
290,"Jones, Miley",61.0
291,"Ryan, Marcus",56.0
292,"Scott, Richard",49.0
293,"Elliott, Ashton",54.0
294,"Brooks, Anna",90.0
295,"Ellis, Antony",66.0
296,"Anderson, Justin",96.0
297,"Ferguson, Rafael",59.0
298,"Taylor, Walter",77.0
299,"Casey, Arnold",68.0
300,"Phillips, Clark",87.0
301,"Barrett, Sarah",41.0
302,"Johnson, Edith",72.0
303,"Smith, Amber",72.0
304,"Elliott, Alan",83.0
305,"Kelley, Carlos",64.0
306,"Chapman, Kelvin",61.0
307,"Gibson, Brad",91.0
308,"Russell, Lilianna",76.0
309,"Jones, Oscar",79.0
310,"Clark, Kristian",99.0
311,"Thompson, Patrick",83.0
312,"Riley, Cadie",45.0
313,"Clark, Derek",76.0
314,"Murphy, Tara",71.0
315,"Perry, Miley",76.0
316,"Harper, Paige",84.0
317,"Elliott, Sarah",70.0
318,"Ferguson, Annabella",82.0
319,"Alexander, Camila",80.0
320,"Barnes, Alisa",33.0
321,"Chapman, Tess",54.0
322,"Bennett, Jasmine",70.0
323,"Brown, Richard",74.0
324,"Wells, Rafael",82.0
325,"Anderson, Ryan",61.0
326,"Ferguson, Carlos",78.0
327,"Cole, Jared",63.0
328,"Gray, Freddie",44.0
329,"Gray, Lana",77.0
330,"Owens, Carlos",63.0
331,"Ross, Charlie",51.0
332,"Hall, Kelsey",71.0
333,"Ellis, William",68.0
334,"Holmes, Edith",62.0
335,"Miller, Sarah",68.0
336,"Mitchell, Tara",66.0
337,"Cooper, Lily",79.0
338,"Farrell, Preston",81.0
339,"Stevens, Bruce",74.0
340,"Kelley, Annabella",54.0
341,"Williams, Paige",72.0
342,"Scott, Wilson",67.0
343,"Watson, Richard",47.0
344,"Ross, Lucia",100.0
345,"Elliott, Byron",84.0
346,"Casey, Myra",84.0
347,"Evans, Camila",83.0
348,"Tucker, Brooke",68.0
349,"Murphy, Ada",79.0
350,"Williams, Antony",63.0
351,"Williams, Alisa",100.0
352,"Williams, Edith",74.0
353,"Harper, Adam",83.0
354,"Hill, Maximilian",50.0
355,"Miller, Daisy",69.0
356,"Baker, Tiana",63.0
357,"Spencer, Miley",89.0
358,"Scott, Chloe",100.0
359,"Wright, Tyler",68.0
360,"West, Tess",60.0
361,"Williams, Albert",49.0
362,"Kelly, Chloe",67.0
363,"Murphy, Elian",69.0
364,"Gibson, Alan",84.0
365,"Ellis, Emma",43.0
366,"Dixon, Charlotte",71.0
367,"Thompson, Caroline",90.0
368,"Douglas, Edgar",65.0
369,"Hawkins, Maddie",73.0
370,"Hill, Walter",77.0
371,"Richards, Brad",86.0
372,"Perkins, Ada",42.0
373,"Taylor, Marcus",68.0
374,"Crawford, Patrick",82.0
375,"Carroll, Martin",75.0
376,"West, Clark",100.0
377,"Johnston, Naomi",100.0
378,"Roberts, Alan",71.0
379,"Myers, Frederick",85.0
380,"Alexander, Julia",65.0
381,"Kelley, Kirsten",70.0
382,"Kelly, Julia",57.0
383,"Campbell, Jared",77.0
384,"Barnes, Freddie",46.0
385,"Baker, Walter",61.0
386,"Harrison, Kellan",59.0
387,"Moore, Tyler",83.0
388,"Myers, Lilianna",84.0
389,"Ferguson, Myra",94.0
390,"Armstrong, Sabrina",96.0
391,"Crawford, Melanie",63.0
392,"Owens, Lucas",77.0
393,"Russell, Kelvin",73.0
394,"Myers, Alford",38.0
395,"Bennett, Richard",87.0
396,"Wright, Aida",92.0
397,"Armstrong, Victor",78.0
398,"Thompson, Joyce",46.0
399,"Ryan, Jessica",76.0
400,"Reed, Frederick",59.0
401,"Russell, Anna",78.0
402,"Howard, Daisy",59.0
403,"Campbell, Agata",83.0
404,"Reed, Kelsey",70.0
405,"Carroll, Penelope",100.0
406,"Tucker, Cadie",75.0
407,"Stewart, Chloe",79.0
408,"Russell, Lana",74.0
409,"Scott, Paige",74.0
410,"Riley, Alissa",55.0
411,"Sullivan, Carlos",73.0
412,"Stewart, Victor",80.0
413,"Roberts, Carina",62.0
414,"Higgins, David",50.0
415,"Martin, Nicholas",81.0
416,"Roberts, April",58.0
417,"Stewart, Lana",90.0
418,"Hill, Richard",79.0
419,"Reed, Briony",66.0
420,"Casey, Tara",87.0
421,"Johnston, Jared",37.0
422,"Scott, Miley",75.0
423,"Stevens, Tess",70.0
424,"Turner, Jared",54.0
425,"Morrison, Kelsey",72.0
426,"Roberts, Chloe",100.0
427,"Payne, Garry",55.0
428,"Cooper, Adam",75.0
429,"Moore, Garry",55.0
430,"Kelley, Sabrina",68.0
431,"Miller, Charlie",53.0
432,"Bailey, Tiana",89.0
433,"Johnson, Albert",74.0
434,"Baker, Agata",68.0
435,"Davis, Miley",89.0
436,"Stewart, Justin",32.0
437,"Farrell, Melissa",56.0
438,"Richardson, Camila",85.0
439,"Morrison, Antony",70.0
440,"Ross, Caroline",70.0
441,"Owens, Henry",77.0
442,"Mitchell, Aldus",89.0
443,"Mitchell, Oscar",100.0
444,"Bailey, Alen",49.0
445,"Gibson, April",79.0
446,"Harper, Kristian",41.0
447,"Moore, Stella",58.0
448,"Brooks, Daisy",56.0
449,"Carter, Catherine",61.0
450,"Howard, Tara",89.0
451,"Stewart, Fenton",69.0
452,"Hunt, Amy",43.0
453,"Higgins, Byron",100.0
454,"Watson, Naomi",67.0
455,"Turner, Valeria",67.0
456,"Smith, Jessica",62.0
457,"Cunningham, Oscar",65.0
458,"Elliott, Bruce",83.0
459,"Richards, Tara",100.0
460,"Baker, Brooke",64.0
461,"Allen, Melanie",63.0
462,"Carter, Freddie",61.0
463,"Cunningham, Sabrina",64.0
464,"Cameron, Victor",76.0
465,"Gray, Amelia",61.0
466,"Roberts, Penelope",64.0
467,"Adams, Isabella",47.0
468,"Johnson, Justin",99.0
469,"Davis, Ted",75.0
470,"Cunningham, Freddie",86.0
471,"Harris, Aldus",63.0
472,"Harrison, Annabella",51.0
473,"Kelly, Victoria",86.0
474,"Murray, Jenna",78.0
475,"Williams, Alford",90.0
476,"Tucker, Isabella",71.0
477,"Crawford, Oscar",73.0
478,"Campbell, Alen",90.0
479,"West, Maddie",69.0
480,"Reed, Elian",65.0
481,"Higgins, Fenton",78.0
482,"Kelly, Reid",67.0
483,"Hall, Camila",44.0
484,"Barrett, Paige",70.0
485,"Hunt, Elise",81.0
486,"Crawford, Thomas",45.0
487,"Murray, Stuart",75.0
488,"Gibson, Chloe",73.0
489,"Martin, Paige",83.0
490,"Gibson, Julia",57.0
491,"Higgins, Gianna",82.0
492,"Gray, William",64.0
493,"Adams, Briony",96.0
494,"Moore, David",74.0
495,"Hawkins, Garry",74.0
496,"Williams, Charlie",84.0
497,"Barrett, Tyler",95.0
498,"Cameron, Agata",88.0
499,"Chapman, Jasmine",71.0
500,"Foster, Antony",46.0
501,"Ellis, Stuart",57.0
502,"Douglas, Jared",84.0
503,"Smith, Daniel",55.0
504,"Stewart, Edith",41.0
505,"Holmes, Cherry",65.0
506,"Hawkins, Rafael",85.0
507,"Campbell, Adrianna",81.0
508,"Dixon, Fenton",71.0
509,"Reed, Annabella",83.0
510,"Higgins, Jessica",92.0
511,"Richards, Miley",44.0
512,"Martin, Maximilian",71.0
513,"Holmes, Nicholas",49.0
514,"Holmes, Daryl",76.0
515,"Harrison, Albert",71.0
516,"Allen, Lilianna",100.0
517,"Kelly, Kimberly",77.0
518,"Carter, Owen",67.0
519,"Stevens, Charlotte",91.0
520,"Russell, Frederick",83.0
521,"Martin, Alisa",59.0
522,"Watson, Gianna",83.0
523,"Jones, Arnold",87.0
524,"Thompson, Antony",67.0
525,"Gibson, Walter",72.0
526,"Sullivan, Lily",75.0
527,"Moore, Melissa",86.0
528,"Bailey, Samantha",64.0
529,"Harrison, Tony",63.0
530,"Crawford, Stuart",63.0
531,"Howard, April",20.0
532,"Phillips, Amanda",25.0
533,"Chapman, Adam",81.0
534,"Crawford, Maddie",100.0
535,"Barnes, Charlie",88.0
536,"Stewart, Kristian",46.0
537,"Higgins, Derek",63.0
538,"Gray, Jasmine",87.0
539,"Taylor, Alford",99.0
540,"Foster, Arnold",88.0
541,"Hawkins, Catherine",77.0
542,"Spencer, Edgar",61.0
543,"Thompson, Kristian",94.0
544,"Dixon, Lucas",60.0
545,"Baker, Daryl",78.0
546,"Cameron, Vivian",58.0
547,"Harrison, Stella",68.0
548,"Myers, Alisa",70.0
549,"Martin, Catherine",88.0
550,"Stewart, Samantha",86.0
551,"Bailey, Elian",66.0
552,"Holmes, James",75.0
553,"Alexander, Brooke",65.0
554,"Morrison, Arthur",94.0
555,"Barrett, Rafael",66.0
556,"Cameron, Jared",59.0
557,"Jones, Fenton",82.0
558,"Ryan, Amy",96.0
559,"Martin, Maddie",77.0
560,"Cooper, Alissa",88.0
561,"Holmes, Stella",74.0
562,"Payne, Tiana",51.0
563,"Cooper, Jack",52.0
564,"Barnes, Melanie",62.0
565,"Henderson, Elise",82.0
566,"Higgins, Agata",39.0
567,"Cunningham, Cadie",75.0
568,"Cooper, Oscar",56.0
569,"Turner, Victor",85.0
570,"Turner, Melanie",63.0
571,"Johnston, Amy",57.0
572,"Johnson, Alford",58.0
573,"Payne, Elian",76.0
574,"Hill, Cherry",67.0
575,"Dixon, Brooke",88.0
576,"Allen, Penelope",91.0
577,"Spencer, Garry",54.0
578,"Miller, James",40.0
579,"Harper, Jared",77.0
580,"Myers, Amber",80.0
581,"Barrett, Aldus",31.0
582,"West, Alford",70.0
583,"Harris, Martin",64.0
584,"Armstrong, Kimberly",65.0
585,"Gray, Julia",80.0
586,"Cunningham, Henry",62.0
587,"Stewart, Steven",94.0
588,"Williams, Kelsey",61.0
589,"Harris, Reid",53.0
590,"Hunt, Alan",84.0
591,"Chapman, Agata",88.0
592,"Kelly, Melanie",68.0
593,"Moore, Amber",57.0
594,"Douglas, Stuart",56.0
595,"Anderson, Tiana",84.0
596,"Phillips, Sabrina",40.0
597,"Thompson, Thomas",80.0
598,"Hall, Penelope",59.0
599,"Richardson, Ted",52.0
600,"Howard, Michael",82.0
601,"Higgins, Melanie",61.0
602,"Warren, Vanessa",54.0
603,"Richardson, Patrick",63.0
604,"Bennett, Thomas",47.0
605,"Baker, Bruce",79.0
606,"Harrison, Nicholas",96.0
607,"Harper, Catherine",60.0
608,"Ryan, Kimberly",77.0
609,"Perry, Fenton",71.0
610,"Hall, Walter",87.0
611,"Richards, Lucia",49.0
612,"Cooper, Maddie",46.0
613,"Foster, Penelope",87.0
614,"Anderson, Chloe",98.0
615,"Martin, Samantha",82.0
616,"Richards, Amber",73.0
617,"Richards, Natalie",21.0
618,"Martin, Thomas",78.0
619,"Mitchell, Spike",65.0
620,"Perry, Carina",67.0
621,"Sullivan, Stella",75.0
622,"Williams, James",90.0
623,"Johnston, Ashton",76.0
624,"Henderson, William",50.0
625,"Stevens, Daisy",78.0
626,"Adams, Edith",79.0
627,"Kelly, Michael",73.0
628,"Clark, Eddy",55.0
629,"Ryan, Kelsey",77.0
630,"Alexander, Adrian",57.0
631,"Douglas, William",64.0
632,"Carter, Antony",71.0
633,"Barnes, Oscar",59.0
634,"Riley, Tess",50.0
635,"Gray, Spike",40.0
636,"Douglas, Freddie",85.0
637,"Turner, George",87.0
638,"Baker, Myra",58.0
639,"Murray, Michael",90.0
640,"Elliott, Frederick",62.0
641,"Johnson, Adrianna",100.0
642,"Harrison, James",60.0
643,"Murphy, Rafael",75.0
644,"Hawkins, Michael",68.0
645,"Williams, Jessica",100.0
646,"Campbell, Kelsey",86.0
647,"Taylor, Sarah",83.0
648,"Hunt, Edith",80.0
649,"Barnes, Ted",84.0
650,"Clark, Emma",77.0
651,"Reed, Derek",74.0
652,"Moore, Kristian",100.0
653,"Kelly, Melissa",78.0
654,"Thompson, Ryan",86.0
655,"Barrett, Bruce",69.0
656,"Wright, Bruce",92.0
657,"Roberts, Myra",85.0
658,"Warren, Derek",82.0
659,"Harrison, Ted",81.0
660,"Carter, Derek",85.0
661,"Warren, Kelvin",62.0
662,"Carter, Tess",66.0
663,"Wells, Ellia",55.0
664,"Miller, Bruce",65.0
665,"Armstrong, Kirsten",76.0
666,"Clark, Freddie",74.0
667,"Murray, Jessica",66.0
668,"Harper, Wilson",45.0
669,"Wright, Elise",65.0
670,"Foster, Alford",82.0
671,"Stewart, Stella",55.0
672,"Barrett, Maximilian",59.0
673,"Owens, Julia",45.0
674,"Kelly, Gianna",65.0
675,"Higgins, Edgar",47.0
676,"Harper, Alford",78.0
677,"Douglas, Natalie",88.0
678,"Kelley, Briony",64.0
679,"Ryan, Byron",46.0
680,"West, Tara",60.0
681,"Ferguson, Michael",67.0
682,"Owens, Kimberly",60.0
683,"Phillips, Emma",62.0
684,"Fowler, Sawyer",44.0
685,"Perry, Ada",36.0
686,"Owens, Marcus",100.0
687,"Baker, Oliver",76.0
688,"Howard, Samantha",77.0
689,"Carter, Rafael",76.0
690,"Owens, Elian",64.0
691,"Davis, Amy",74.0
692,"Richardson, Tony",60.0
693,"Owens, Alen",68.0
694,"Hunt, Lily",83.0
695,"Jones, George",97.0
696,"Stewart, Tony",59.0
697,"Russell, Belinda",63.0
698,"Warren, Sarah",63.0
699,"Sullivan, Melanie",98.0
700,"Davis, Stuart",79.0
701,"Hawkins, Gianna",84.0
702,"Alexander, Alissa",63.0
703,"Thompson, Kimberly",64.0
704,"Carroll, Bruce",80.0
705,"Richards, Stella",80.0
706,"Owens, Belinda",85.0
707,"Smith, Briony",78.0
708,"Tucker, Roland",60.0
709,"Payne, Sarah",75.0
710,"Miller, Steven",66.0
711,"Baker, Olivia",53.0
712,"Crawford, Jack",65.0
713,"Carroll, Aldus",87.0
714,"Cole, Alisa",86.0
715,"Gray, Martin",91.0
716,"Tucker, Ada",59.0
717,"Tucker, Brad",44.0
718,"Davis, Eddy",53.0
719,"Gibson, Tiana",60.0
720,"Richards, Myra",44.0
721,"Tucker, Maddie",69.0
722,"Hall, Derek",89.0
723,"West, Valeria",50.0
724,"Clark, Gianna",44.0
725,"Richardson, Justin",66.0
726,"Kelley, Tiana",80.0
727,"Wells, Daisy",45.0
728,"Richardson, James",64.0
729,"Armstrong, Melissa",90.0
730,"Elliott, Victoria",93.0
731,"Adams, Jasmine",85.0
732,"Martin, Amber",67.0
733,"Elliott, Richard",59.0
734,"Carroll, Edith",78.0
735,"Miller, Amy",61.0
736,"Wells, Henry",73.0
737,"Jones, Owen",44.0
738,"Crawford, Walter",30.0
739,"Douglas, Arthur",89.0
740,"Russell, Emma",81.0
741,"Tucker, Carlos",69.0
742,"Cooper, Alan",80.0
743,"Gray, Charlie",100.0
744,"Watson, Maddie",72.0
745,"Wright, Maximilian",60.0
746,"Murray, Clark",56.0
747,"Harrison, Abigail",96.0
748,"West, Kristian",72.0
749,"Armstrong, Ellia",81.0
750,"Miller, Gianna",66.0
751,"Alexander, Jack",65.0
752,"West, Thomas",89.0
753,"Ferguson, Dominik",100.0
754,"Adams, Vanessa",50.0
755,"Scott, Owen",37.0
756,"Campbell, Clark",56.0
757,"Allen, Arthur",94.0
758,"Baker, Vivian",77.0
759,"Sullivan, Eddy",70.0
760,"Wilson, Thomas",64.0
761,"Kelly, Paige",61.0
762,"Hall, Edith",90.0
763,"Cunningham, Walter",94.0
764,"Murphy, Adam",49.0
765,"Phillips, Lucas",96.0
766,"Henderson, Maximilian",45.0
767,"Murray, Valeria",81.0
768,"Harris, Oliver",98.0
769,"Armstrong, Annabella",95.0
770,"West, Reid",62.0
771,"Perry, Derek",71.0
772,"Wilson, Amber",86.0
773,"Barnes, Belinda",98.0
774,"Williams, Joyce",70.0
775,"Johnson, Victoria",69.0
776,"Brooks, George",71.0
777,"Hall, Eddy",100.0
778,"Cameron, Alissa",88.0
779,"Hill, Lucas",20.0
780,"Hall, Preston",87.0
781,"Kelly, Olivia",83.0
782,"Hill, Camila",56.0
783,"Mitchell, Eleanor",81.0
784,"Wilson, Oliver",72.0
785,"Baker, Valeria",69.0
786,"Barrett, Tony",72.0
787,"Phillips, Kelvin",79.0
788,"Harper, Ashton",69.0
789,"Perkins, Eddy",68.0
790,"Sullivan, Maria",84.0
791,"Dixon, Jenna",66.0
792,"Taylor, Jenna",92.0
793,"Gray, Miley",71.0
794,"Jones, Dominik",81.0
795,"Reed, Tyler",83.0
796,"Cole, Jasmine",100.0
797,"Crawford, Annabella",82.0
798,"Moore, Maddie",78.0
799,"Turner, Dominik",71.0
800,"Clark, April",67.0
801,"Sullivan, Victoria",63.0
802,"Turner, Alexia",49.0
803,"Henderson, Alisa",68.0
804,"Martin, Amy",70.0
805,"Ryan, Melissa",56.0
806,"Anderson, Anna",90.0
807,"Watson, Justin",45.0
808,"Harrison, Myra",67.0
809,"Douglas, Gianna",94.0
810,"Jones, Victor",70.0
811,"Watson, Byron",60.0
812,"Campbell, Lilianna",71.0
813,"Watson, William",60.0
814,"Harris, Elise",97.0
815,"Adams, Stella",83.0
816,"Brooks, Richard",49.0
817,"Carter, Edgar",64.0
818,"Reed, Wilson",44.0
819,"Perry, Jared",61.0
820,"Wilson, Justin",53.0
821,"Cunningham, Adrian",61.0
822,"Armstrong, Stuart",68.0
823,"Cameron, Dominik",84.0
824,"Gibson, Sabrina",67.0
825,"Bailey, Dominik",66.0
826,"Phillips, Paige",55.0
827,"Carroll, Carina",61.0
828,"Murray, Amber",56.0
829,"Perkins, Kellan",75.0
830,"Miller, Rafael",85.0
831,"Cunningham, Paige",98.0
832,"Riley, Michael",92.0
833,"Hill, Cadie",83.0
834,"Farrell, Ashton",71.0
835,"Warren, Justin",66.0
836,"Carter, Cherry",81.0
837,"Casey, Miley",69.0
838,"Adams, Tara",53.0
839,"Wells, Amanda",66.0
840,"Alexander, Byron",39.0
841,"Hill, Alan",68.0
842,"Phillips, Elian",68.0
843,"Bailey, Ada",84.0
844,"Baker, Brad",50.0
845,"Barrett, Albert",76.0
846,"Douglas, Victoria",42.0
847,"Armstrong, Bruce",64.0
848,"Williams, Lana",64.0
849,"Kelly, Charlotte",56.0
850,"Perry, Tony",100.0
851,"Turner, Daryl",81.0
852,"Owens, Abigail",47.0
853,"Harper, Jenna",100.0
854,"Cameron, Jenna",77.0
855,"Stewart, Kelvin",100.0
856,"Armstrong, Daisy",51.0
857,"Cooper, Reid",76.0
858,"Moore, Arthur",78.0
859,"Mitchell, Jack",64.0
860,"Owens, Stella",45.0
861,"Owens, Amy",56.0
862,"Carroll, Oscar",56.0
863,"Howard, Alen",54.0
864,"Owens, Jack",77.0
